path,modality,study,status,sop_class,dicom_modality,transfer_syntax,photometric,samples_per_pixel,bits_allocated,bits_stored,signed,is_image,compressed,width,height,components,frames,src_bytes,j2k_bytes,enc_seconds,dec_seconds,detail
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study5/Head_Dot - MR89/PC_3D_21/IM-0215-0093.dcm,MR,MRI_Study5,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,208,256,1,1,199978,18518,0.2082,0.0376,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study3/Pelvis_Prd_Female_Pelvis - MR218/t1_vibe_fs_Sag_DYNAMIC_NEW_34/IM-0127-0055.dcm,MR,MRI_Study3,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,176,256,1,1,190756,25131,0.207,0.0365,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_060_THIN_BONE_13/IM-0059-1147.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528966,329528,0.2126,0.0591,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/Arterial_Phase_200_THIN_SOFT_14/IM-0010-0117.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528916,157096,0.2196,0.0572,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/BRAIN_PLAIN_200_THIN_SOFT_3/IM-0050-0091.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,529052,125446,0.221,0.0566,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study1/Abd_Triple_Phae(Adult) - CT32/Arterial_Phase_200_THIN_SOFT_7/IM-0006-0209.dcm,CT,CT_Study1,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528864,151414,0.2281,0.0718,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study4/Thorax_Covid(Adult) - CT223/Thorax_COVID_100_THIN_LUNG_3/IM-0002-0821.dcm,CT,CT_Study4,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528848,262947,0.2357,0.0739,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_060_THIN_BONE_13/IM-0059-1267.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528966,333727,0.2324,0.0871,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study3/Pelvis_Prd_Female_Pelvis - MR218/t2_tse_tra_fs_8/IM-0102-0034.dcm,MR,MRI_Study3,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,320,220,1,1,270830,43272,0.2135,0.0283,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/Abd_Plain_100_THIN_LUNG_4/IM-0003-0457.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528882,278494,0.1872,0.0557,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study4/Thorax_Covid(Adult) - CT223/Thorax_COVID_100_THIN_LUNG_3/IM-0002-0628.dcm,CT,CT_Study4,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528848,261353,0.2046,0.0649,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study2/Thorax_Covid(Adult) - CT223/Thorax_COVID_100_THIN_LUNG_3/IM-0002-0267.dcm,CT,CT_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528856,268989,0.2129,0.0623,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_200_THIN_SOFT_6/IM-0052-0547.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528966,152327,0.268,0.0754,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_060_THIN_BONE_13/IM-0059-1404.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528966,325170,0.2382,0.0798,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Whole_Spine_060_THIN_BONE_13/IM-0059-0915.dcm,MR,MRI_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528966,323133,0.172,0.0792,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/Localizers_1/IM-0093-0074.dcm,MR,MRI_Study2,OK,MR Image Storage,MR,1.2.840.10008.1.2.1,MONOCHROME2,1,16,12,0,1,0,160,160,1,1,216922,16406,0.1247,0.0395,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study5/Head_Dot - MR89/t1_mprage_sag_p2_MPR_cor_42/IM-0232-0176.dcm,MR,MRI_Study5,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,192,192,1,1,167442,13854,0.0807,0.0409,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/XA/XA_Study5/Unnamed - 1/DR_27/IM-0640-0001.dcm,XA,XA_Study5,OK,X-Ray Angiographic Image Storage,XA,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,1024,1024,1,1,2132170,683792,0.3396,0.0687,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/MR/MRI_Study2/Head_Dot - MR68/t1_tirm_sag_35/IM-0076-0007.dcm,MR,MRI_Study2,OK,MR Image Storage,MR,1.2.840.10008.1.2,MONOCHROME2,1,16,12,0,1,0,256,256,1,1,237046,32642,0.1306,0.0308,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study5/Abd_Triple_Phae(Adult) - CT32/Abd_Plain_500_5/IM-0003-0005.dcm,CT,CT_Study5,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528858,149720,0.2148,0.0354,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study2/Thorax_Covid(Adult) - CT223/Thorax_COVID_100_THIN_LUNG_3/IM-0002-0593.dcm,CT,CT_Study2,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528856,278359,0.1688,0.0424,
/Users/raster/Library/CloudStorage/GoogleDrive-ranjithkumar.k@raster.sksh.ac.in/.shortcut-targets-by-id/1yz_KcLqa6FDdNQzWgvHjaKvzwyvFxtf4/Radiology DICOM Data/CT/CT_Study3/Abd_Triple_Phae(Adult) - CT204/ABD__7Mints_200_THIN_SOFT_24/IM-0018-0480.dcm,CT,CT_Study3,OK,CT Image Storage,CT,1.2.840.10008.1.2.1,MONOCHROME2,1,16,16,0,1,0,512,512,1,1,528928,140742,0.2335,0.0268,
