path,modality,study,status,transfer_syntax,width,height,components,bits_allocated,frames,src_bytes,j2k_bytes,enc_seconds,dec_seconds,detail
LocalDatasets/medical-dicom-organized/mr/study_002/instance_004712.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528970,331031,0.2289,0.0562,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_000455.dcm,mr,study_003,OK,1.2.840.10008.1.2,320,320,1,0,1,322254,73179,0.2442,0.0232,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_000622.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528824,147059,0.22,0.0673,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_003497.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528966,326016,0.141,0.0697,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_001021.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,531,1,0,1,548358,139038,0.2415,0.0618,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_002205.dcm,mr,study_002,OK,1.2.840.10008.1.2,384,516,1,0,1,499226,102467,0.2422,0.0503,
LocalDatasets/medical-dicom-organized/ct/study_004/instance_001164.dcm,ct,study_004,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528844,160091,0.1883,0.0536,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_004081.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528936,147775,0.2215,0.0515,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_001790.dcm,mr,study_003,OK,1.2.840.10008.1.2,320,220,1,0,1,270832,45379,0.2166,0.0214,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_000848.dcm,mr,study_003,OK,1.2.840.10008.1.2,176,256,1,0,1,190758,25255,0.2207,0.0189,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_002485.dcm,mr,study_002,OK,1.2.840.10008.1.2,512,512,1,0,1,619550,73292,0.2212,0.0409,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_001941.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528864,157355,0.2149,0.0362,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_000747.dcm,mr,study_002,OK,1.2.840.10008.1.2,512,512,1,0,1,618116,63066,0.2213,0.0416,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_001349.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528866,149578,0.2209,0.0431,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_000654.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,160,160,1,0,1,216544,17596,0.2252,0.0313,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_004615.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528970,333458,0.22,0.0438,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_000014.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528878,142541,0.202,0.0352,
LocalDatasets/medical-dicom-organized/ct/study_004/instance_000546.dcm,ct,study_004,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528848,249276,0.2016,0.0443,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_000932.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528894,141892,0.2137,0.047,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_000383.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528928,148847,0.2182,0.0504,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_004699.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528970,332274,0.219,0.0806,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_003193.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528874,274826,0.2284,0.0678,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_002671.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528966,294455,0.2696,0.0642,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_006708.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,1330,1,0,1,1366534,496859,0.3074,0.0505,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_000821.dcm,mr,study_004,OK,1.2.840.10008.1.2,512,512,1,0,1,563226,24177,0.2329,0.0342,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_002394.dcm,mr,study_004,OK,1.2.840.10008.1.2,336,384,1,0,1,382614,93273,0.2173,0.0629,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_002742.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528906,155860,0.2177,0.0437,
LocalDatasets/medical-dicom-organized/ct/study_002/instance_000700.dcm,ct,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528856,281681,0.2885,0.056,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_003308.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528966,322694,0.1914,0.0452,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_000669.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528862,151361,0.2498,0.0598,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_003330.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528874,276154,0.2721,0.0593,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_002186.dcm,mr,study_002,OK,1.2.840.10008.1.2,384,516,1,0,1,499230,104689,0.304,0.0242,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_000303.dcm,mr,study_002,OK,1.2.840.10008.1.2,224,256,1,0,1,217932,22030,0.0631,0.0168,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_001443.dcm,mr,study_003,OK,1.2.840.10008.1.2,256,256,1,0,1,222592,49329,0.1909,0.0286,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_004001.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528936,156140,0.1884,0.0277,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_000187.dcm,mr,study_002,OK,1.2.840.10008.1.2,160,160,1,0,1,147206,17056,0.1842,0.023,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_000996.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,531,1,0,1,548358,198474,0.2028,0.0329,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_001546.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528888,148268,0.1551,0.0462,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_001774.dcm,mr,study_003,OK,1.2.840.10008.1.2,320,220,1,0,1,270836,46155,0.1947,0.0581,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_001993.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528890,150249,0.2118,0.04,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_001589.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528868,151881,0.2062,0.0625,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_001597.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,160,160,1,0,1,216928,10696,0.1322,0.022,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_001229.dcm,mr,study_003,OK,1.2.840.10008.1.2,176,256,1,0,1,190796,22125,0.1494,0.0312,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_002113.dcm,mr,study_002,OK,1.2.840.10008.1.2,270,320,1,0,1,288810,52890,0.1564,0.0332,
LocalDatasets/medical-dicom-organized/ct/study_004/instance_001668.dcm,ct,study_004,OK,1.2.840.10008.1.2.1,555,512,1,0,1,572768,185361,0.1912,0.0335,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_002236.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528890,157170,0.1836,0.0487,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_001953.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528864,156103,0.1595,0.0437,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_000738.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528892,154943,0.1647,0.0527,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_003992.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528936,154138,0.1673,0.05,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_000925.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528864,152096,0.1434,0.0313,
LocalDatasets/medical-dicom-organized/ct/study_002/instance_001418.dcm,ct,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528858,183761,0.126,0.0303,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001792.dcm,mr,study_005,OK,1.2.840.10008.1.2,512,512,1,0,1,619464,75033,0.1193,0.0157,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_000163.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,512,656,1,0,1,676310,116569,0.2249,0.0357,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_004241.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528970,312724,0.2113,0.0596,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_001307.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528870,155126,0.1529,0.0523,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_006195.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528962,167340,0.2223,0.0892,
LocalDatasets/medical-dicom-organized/ct/study_004/instance_001015.dcm,ct,study_004,OK,1.2.840.10008.1.2.1,555,512,1,0,1,572764,283950,0.169,0.0909,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_002554.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,1180,1,0,1,1212814,262274,0.2841,0.0927,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_000983.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528882,272844,0.212,0.1059,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_002546.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,1180,1,0,1,1212812,262751,0.2307,0.0376,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_002616.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528888,144693,0.1102,0.0402,
