image,codec,target_bpp,achieved_bpp,psnr_db,ssim,file_size_bytes,error
synth_8b_512,J2KSwift,0.5000,0.506622,31.3650,0.725686,16601,
synth_8b_512,J2KSwift,1.0000,1.007690,33.2490,0.837747,33020,
synth_8b_512,J2KSwift,2.0000,2.009338,38.6202,0.957154,65842,
synth_8b_512,J2KSwift-HT,0.5000,0.495941,30.4580,0.614038,16251,
synth_8b_512,J2KSwift-HT,1.0000,1.014648,30.7385,0.647896,33248,
synth_8b_512,J2KSwift-HT,2.0000,2.022247,31.5002,0.717814,66265,
synth_8b_512,J2KSwift-HTcustom,0.5000,0.546478,31.1424,0.692779,17907,
synth_8b_512,J2KSwift-HTcustom,1.0000,1.057220,32.1934,0.773947,34643,
synth_8b_512,J2KSwift-HTcustom,2.0000,2.050629,36.0034,0.916715,67195,
synth_8b_512,OpenJPEG,0.5000,0.495483,31.2251,0.728608,16236,
synth_8b_512,OpenJPEG,1.0000,0.987488,32.9131,0.833746,32358,
synth_8b_512,OpenJPEG,2.0000,1.999359,37.7162,0.948348,65515,
synth_8b_512,OpenJPH,0.5000,0.555817,31.7663,0.760520,18213,
synth_8b_512,OpenJPH,1.0000,0.926270,33.2514,0.840065,30352,
synth_8b_512,OpenJPH,2.0000,2.200775,39.1995,0.961433,72115,
synth_8b_512,Grok,0.5000,0.491455,31.2010,0.726013,16104,
synth_8b_512,Grok,1.0000,0.981323,32.8700,0.831915,32156,
synth_8b_512,Grok,2.0000,1.999329,37.6917,0.948015,65514,
synth_12b_512,J2KSwift,0.5000,0.505737,27.3659,0.556925,16572,
synth_12b_512,J2KSwift,1.0000,1.008270,29.4563,0.771847,33039,
synth_12b_512,J2KSwift,2.0000,2.009277,34.3469,0.933970,65840,
synth_12b_512,J2KSwift-HT,0.5000,0.480011,26.4950,0.356313,15729,
synth_12b_512,J2KSwift-HT,1.0000,1.071564,26.7792,0.420008,35113,
synth_12b_512,J2KSwift-HT,2.0000,2.062958,27.4384,0.536775,67599,
synth_12b_512,J2KSwift-HTcustom,0.5000,0.547058,27.1584,0.506404,17926,
synth_12b_512,J2KSwift-HTcustom,1.0000,1.057770,28.1766,0.642756,34661,
synth_12b_512,J2KSwift-HTcustom,2.0000,2.050415,31.7824,0.868444,67188,
synth_12b_512,OpenJPEG,0.5000,0.494263,27.4040,0.588467,16196,
synth_12b_512,OpenJPEG,1.0000,0.993073,29.2134,0.772622,32541,
synth_12b_512,OpenJPEG,2.0000,1.984283,33.9720,0.931010,65021,
synth_12b_512,OpenJPH,0.5000,0.665833,28.1947,0.677520,21818,
synth_12b_512,OpenJPH,1.0000,1.163879,30.2811,0.819856,38138,
synth_12b_512,OpenJPH,2.0000,2.055634,34.4639,0.935244,67359,
synth_12b_512,Grok,0.5000,0.496948,27.3945,0.587513,16284,
synth_12b_512,Grok,1.0000,0.999756,29.2222,0.772734,32760,
synth_12b_512,Grok,2.0000,1.989532,33.9716,0.931009,65193,
